Dlt|SrcKey|FornKey|AcctId|AcctType|BatchNum|SeqNum|TrnType|RtNum|ChkNum|Amt|TrnCodeCode|_LoadDt|SrcContextId
false|0000000002||554545|G|0|26790000002|C|001000001|1001|2271.38|TCMDDEPTICKETDDA|05/02/2022 09:17:53 PM|1.1
false|0000000003||3531092156|G|0|26790000003|D|771025727|1002|574.09|TDEPCHECKTRANSIT|05/02/2022 09:17:53 PM|1.1
false|0000000004||3531092122|G|0|26790000004|D|771025693|1003|1697.29|TDEPCHECKTRANSIT|05/02/2022 09:17:54 PM|1.1
false|0000000005||123213123|G|0|26790000005|C|001000001|1004|19717.28|TCMDDEPTICKETDDA|05/02/2022 09:17:55 PM|1.1
false|0000000006||3531092141|G|0|26790000006|D|771025712|1005|1338.74|TDEPCHECKTRANSIT|05/02/2022 09:17:55 PM|1.1
false|0000000007||155222|G|0|26790000007|D|001000001|1006|3611.48|TOCKCHECKCDA|05/02/2022 09:17:56 PM|1.1
false|0000000008||3531092155|G|0|26790000008|D|771025726|1007|4024.83|TDEPCHECKTRANSIT|05/02/2022 09:17:56 PM|1.1
false|0000000009||3531092103|G|0|26790000009|D|771025674|1008|2177.44|TDEPCHECKTRANSIT|05/02/2022 09:17:57 PM|1.1
false|0000000010||3531092146|G|0|26790000010|D|771025717|1009|526.06|TDEPCHECKTRANSIT|05/02/2022 09:17:57 PM|1.1
false|0000000011||3531092140|G|0|26790000011|D|771025711|1010|2446.51|TDEPCHECKTRANSIT|05/02/2022 09:17:58 PM|1.1
false|0000000012||3531092122|G|0|26790000012|D|771025693|1011|5084.69|TDEPCHECKTRANSIT|05/02/2022 09:17:58 PM|1.1
false|0000000013||123123123|G|0|26790000013|D|001000001|1012|507.53|TOCKCHECKCDA|05/02/2022 09:17:59 PM|1.1
false|0000000014||161|G|0|26790000014|C|001000001|1013|28628.78|TCMDDEPTICKETDDA|05/02/2022 09:17:59 PM|1.1
false|0000000015||3531092114|G|0|26790000015|D|771025685|1014|4480.01|TDEPCHECKTRANSIT|05/02/2022 09:18:00 PM|1.1
false|0000000016||131|G|0|26790000016|D|001000001|1015|1336.14|TOCKCHECKCDA|05/02/2022 09:18:00 PM|1.1
false|0000000017||3531092105|G|0|26790000017|D|771025676|1016|3105.81|TDEPCHECKTRANSIT|05/02/2022 09:18:01 PM|1.1
false|0000000018||1060|G|0|26790000018|D|001000001|1017|3034.67|TOCKCHECKCDA|05/02/2022 09:18:02 PM|1.1
false|0000000019||3531092115|G|0|26790000019|D|771025686|1018|4869.61|TDEPCHECKTRANSIT|05/02/2022 09:18:02 PM|1.1
false|0000000020||3531092140|G|0|26790000020|D|771025711|1019|5995.59|TDEPCHECKTRANSIT|05/02/2022 09:18:03 PM|1.1
false|0000000021||51651651|G|0|26790000021|D|001000001|1020|5806.95|TOCKCHECKCDA|05/02/2022 09:18:03 PM|1.1
